id,subject,body,t1_final,t2_final
37817,Listing(s) uses unauthorized copy of copyrighted image [Case #429349],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
37818,Bazaar Assets LLP:  VERO Notice of Infringement,"


**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.co",e2M Listing,VeRO - CCR
37819,Re: Important Case (5114735308) Update: Your Action Required SR# 1-87286138321,"Good evening,

I am reaching out to you all to follow up with my current status on this
claim/case.

I have reached out to Overstock via the number on the attached email. My
case number for my phone call is 160913-004993. I was told by them that
they are going to schedule a pick up of the item, and they will give me a
couple days notice once it is scheduled although I haven't gotten any word
yet of a scheduled pick up.

Also I have the other email also attached that states that I have until Oct
11, to have the item marked for shipment. I just wanted to be fully
transparent and disclose and document this process. I am not at all
frustrated just keeping record and making sure that I am following the
proper guidance.

According to this email, I only have 7 days but... LOL.

On Sat, Oct 1, 2016 at 1:07 PM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Important Case (5114735308) Update: Your Action Required SR# 1-87286138321
>
>
> Hello Jabrie,
>
>
>
> We are following up with you today in regards to the Glass Shower
> Enclosure (eBay item: 351618247790) that you recently purchased. I
> understand that you opened a case because we were unsure of dimension
> needed, and now realize this enclosure won't work.We know these types of
> situations can be stressful. We want to work together with you to resolve
> this issue on both sides.
>
>
",M2M Escalation,Buyer Protect High ASP Claim
37820,,NULL,Specialty,Logistics - CCR
37821,Policy General,"Hey there,

I'm loosing my patience here. I supposed to get this item a month ago.
WHERE IS IT? The address and phone number was correct...Still don't
understand why I never got the item...

Susanna

On Thu, Oct 6, 2016 at 1:05 AM, <customerhelp@ebay.com> wrote:

> [image: eBay]
> eBay item undeliverable to your address - SR# 1-88173746699
>
>
> Hello dina022084,
>
> We're having trouble delivering your order of eBay item 131922178065 from
> bernice346 (ORA: A2319871638HU). This is usually caused by an incomplete or
> unrecognized address or phone number.
>
> Please review the delivery address and phone number. The address we tried
> to deliver to is 24 Fadrusz Janos Utca,,Kisber,Komarom-Esztergom
> Megye,2870,Hungary.  The phone number is 0036209832057.
>
> If these details are incorrect, please edit them here:
> http://payments.ebay.co.uk/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Note: We can't ship to an address in a different country than originally
> listed. Also, we don’t ship to PO Boxes or Packstations.
>
> --You don't need to contact us once you've updated the address.--
>
> If the shipping address and phone number are correct, let us know by
> replying to this email.
>
> We'll hold your item for 7 days while we wait for your updated address. If
> we haven't heard from you by then, we'll dispose of your item. We don't
> retu",Specialty,Logistics - CCR
37822,Re: VeRO Program -- eBay Listing Removed,"Thank you. Please can you forward me the trader's personal details? The
reason code to support our reports is 5.2.

Zoe Le Jeune





________________________________
From: vero@ebay.co.uk <vero@ebay.co.uk>
Sent: 04 October 2016 16:45
To: admin1
Subject: VeRO Program -- eBay Listing Removed

Thank you for contacting us.

We are pleased to inform you that the following listing(s) you reported have been removed from eBay in response to the Notice of Claimed Infringement you recently sent:

2015_zepi
222246081644

aulife-store
172335789795
191761693200

hk_2045
222243677590

lexingh
112153346882

smilesale2016
291891129350

We have notified the seller and all participating bidders that the listing(s) has been removed due to your request.

If the Notice of Claimed Infringement contained items that are not listed above you will receive a separate email communication about those items. These notices may arrive at different times (over a period of up to several hours) as items for different sellers are processed separately.

If you should have any questions or concerns regarding this matter, please do not hesitate to contact us again.

VeRO Program
eBay Trust & Safety

",e2M Listing,VeRO - CCR
37823,,"Name :Sye Haare Martin
Address: 36 Nicholson Street,Dalby ,4405,Queensland,Australia
Phone number 0447302399

On Friday, October 7, 2016, <customerhelp@ebay.com> wrote:

> [image: eBay]
> Your Action Required Regarding eBay Item #: 262599770745
> (OREUSA1603829178AU) SR# 1-88272393831
>
>
> Dear Syehaare,
>
>
>
> Your order for eBay Item #: 262599770745 is currently on hold with our
> shipping partner. In order to complete delivery, they require an update on
> the order information. The original address information may be either
> incorrect or incomplete.  We want to send the item to you, but we need you
> provide this updated information before we can do so.
>
>
>
> DAI Post Tracking number: 69Y016209501000930802
>
>
>
> Here's what we need you to do next:
>
>
>
> �?Please reply to this email and provide the information outlined below:
>
>
>
> Ship To Name (Full Name):
>
> Address Line 1 (Cannot be a PO Box):
>
> Address Line 2:
>
> City:
>
> Province:
>
> Postal Code:
>
> Country:
>
> Phone #:
>
> Buzzer/Door Code:
>
>
>
> When providing this information please take note of the following:
>
> �?We are unable to send the parcel to a different country and we cannot
> deliver the parcel to a PO Box or a military APO/FPO address.
>
> �?Please be sure to provide a physical address within Australia, which is
> the country",Specialty,Logistics - CCR
37824,,"I have sent return shipping funds for the buyer to send the item back.

Transaction ID: 8TW618347N071005S

[image1.PNG]

Sent from my iPhone

On Oct 7, 2016, at 10:12 AM, ""highvalueclaimsinfo@ebay.com<mailto:highvalueclaimsinfo@ebay.com>"" <highvalueclaimsinfo@ebay.com<mailto:highvalueclaimsinfo@ebay.com>> wrote:

[eBay]
Your eBay Money Back Guarantee case SR# 1-88351061521



Hello Yannick,



I'm contacting you about the return request your buyer has opened for the item Christian Louboutin Louis Straus Sneakers (252549471360) purchased by marinespeedster69 on 9/22/2016. As the item doesn't match the listing description, you'll need to pay for the return shipping, and once you get the item back refund the buyer the full cost of the item plus original shipping.



We've placed the return on hold for 5 days to allow you to arrange the return shipping with your buyer. If you don't provide a resolution to the buyer by 10/12/2016, we'll close the return in the buyer's favor and issue them a refund, even if they haven't returned the item.



There are a few ways you can facilitate the item's return:

If you have a preferred courier, you may wish to send your own return shipping label to the buyer.

Find out the return shipping amount by using shipping calculators from the buyer's local carrier website (e.g. USPS for US), then issue the buyer with a paym",M2M Escalation,Buyer Protect High ASP Claim
37825,,NULL,Specialty,Logistics - CCR
37826,,NULL,Specialty,Logistics - CCR
37827,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US ?01 ]",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37828,Paying eBay fees,"Sent:	2016-10-06 11:22:17.0

Subject:	Paying eBay fees

Enter your question / concern:	Hi! Just mailing to inform you that the courier you use in Sweden, BRING, is not delivering as they are paid for. Their tracking info says they have been trying to deliver at my address repeatedly but they most certainly have not been here (three adults home around the clock), and they have not even left a note in the mailbox. After extensive searching I have found emails from them in my spam folder. For me it is such a bad service it reflects poorly on you. Only informing via email is very insecure due to seller missing one single letter and package will get sent back. So far this has happened with: UPAAA000000184380209, UPAAA000000187548512, UPAAB000000172424952, UPAAA000000186734394 (I think those are the correct numbers, not the same as carrier uses). Just thought you should know and at least give them a hard time about it. Thanks, Maria

Send a copy to my email address.:	on",Specialty,Logistics - CCR
37829,Re: Regarding Case 5112768376 SR# 1-87829995212,"The case wasn't closed, it's on hold and I have a written stamens from your
rep.
בתאריך יום ד׳, 5 באוק׳ 2016 ב-20:36 מאת Alona <alona123@gmail.com>:

> Hello
> How can this case be closed?
> I did everything according to your rules.
> I started the return on time
> I didn't delay the return the seller did
> So I didn't get my motor and the money !
> Ask your college who talked to me over the phone.
> I was promised my money back.
> Why is my case closed?
> This is not right.
> Please contact the seller and advise him to refund me what is due!
>
> בתאריך יום ד׳, 5 באוק׳ 2016 ב-20:26 מאת <highvalueclaimsinfo@ebay.com>:
>
> [image: eBay]
> Regarding Case 5112768376 SR# 1-87829995212
>
>
> Hello Yoel,
>
>
>
> Thank you for your previous email regarding case 5112768376. I have
> reviewed this case and can see what a frustrating situation this has been
> for you. I understand this product was not allowed in your country and so
> it was returned to the sender.
>
>
>
> At this time both the case and the appeal have been closed and cannot be
> reopened. We strongly encourage you to reach out to your seller to resolve
> this issue. Also, you may want to reach  out to Paypal and see what options
> they have available to you. We appreciate your patience and cooperation
> with this process.
>
> Thanks,
>
> Jim L.
>
> eBay
>
>
>
>
> *From:* Alo",M2M Escalation,Buyer Protect High ASP Claim
37830,Bazaar Assets LLP:  VERO Notice of Infringement,"

**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.com<",e2M Listing,VeRO - CCR
37831,,NULL,Specialty,Logistics - CCR
37832,Infringement issue,"Hello,


I am writing on behalf of *galaxy gift curtains.*



Our brand “Ambesonne�?is a registered trademark. When you search “shower
curtain�?many Ambesonne shower curtains are listed on the first pages
however most of these are replicas or unauthorized copies of our shower
curtains.


We do have about 6 authorized sellers which sell our products but the ones
other than these sellers are fake. We don’t have any resellers from China
and our products aren’t made or located in China either.


These unauthorized sellers are using our designs, duplicating them and
selling counterfeits as the real thing. They are using our name, our work
and our images and selling these products which normally we should be
selling, especially on the first page. This this is affecting our sales
because most of the sales of our shower curtains and designs are going to
fake Ambesonne sellers.



This issue is not only about sales. These fakes sellers cannot print the
real designs and reach our quality levels with illegally copied designs and
images so this is also affecting our brand reputation and causing bad
feedback as these low quality products are reaching customers. Because of
poor customer satisfaction, our overall revenue which would normally be
reached by our Ambesonne sales has also decreased.





Unfortunately it’s very difficult to fix the damage thes",e2M Listing,VeRO - CCR
37833,Listing(s) uses unauthorized copy of copyrighted text [Case #429351],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
37834,Notice of Claimed Infringement - Apple Inc.,"Notice of Claimed Infringement - Apple Inc.



Date: Oct-5-2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax Number: (408) 516-8811



The Software & Information Industry Association (“SIIA�? is a U.S. trade association that represents the intellectual property interest of numerous companies in the software and digital content industries, including but not limited to Apple Inc. SIIA is authorized to act on behalf of SIIA members whose copyright and other intellectual property rights it believes to be infringed as described herein.



SIIA is providing this notice pursuant to the Digital Millennium Copyright Act, 17 USC § 512 and eBay’s Verified Rights Owner (VeRO) Program

to make eBay, Inc. aware of material that infringes the exclusive copyright and other rights of one or more SIIA members. The extensive copyright infringement involves, but is not limited to, the unlawful sale and distribution of content. SIIA has registered through VeRO to report such listing on behalf of our members. Please see Exhibit A below for infringing listings and corresponding VeRO Reason Codes in the eBay Notice of Claimed Infringement template format.



Rhonda Duke

Intellectual Property Protection Division

Software & Information Industry Association

1090 Vermont Ave NW Sixth Floor

Washington, DC 20005-4905

enforcem",e2M Listing,VeRO - CCR
37835,,NULL,Specialty,Logistics - CCR
37836,Using the Global Shipping Program to sell to international buyers,"Sent:	2016-10-06 04:27:44.0

Subject:	Using the Global Shipping Program to sell to international buyers

Enter your question / concern:	I will need to send more info to the people delivering my item.  My apartment in the one in the middle.  It has a pino baby food sign on it.  It is near the Cairo Tower or across the river.  I am off of Nile St. Alisa  I also have pictures of the statues in case they need a land mark

Send a copy to my email address.:	on",Specialty,Logistics - CCR
37837,,"Ron France
311 Main Rd 
Wellington Pt. Q4160
Redland City
Australia
Ph. 0408719396



Sent from my iPhone

> On 7 Oct. 2016, at 6:02 am, customerhelp@ebay.com wrote:
> 
> 
> Your Action Required Regarding eBay Item #: 261982456067 (OREUSA1590494978AU) SR# 1-88272821040
> 
> 
> Dear Ron,
>  
> Your order for eBay Item #: 261982456067 is currently on hold with our shipping partner. In order to complete delivery, they require an update on the order information. The original address information may be either incorrect or incomplete.  We want to send the item to you, but we need you provide this updated information before we can do so.
>  
> DAI Post Tracking number: 69Y015277401000930809
>  
> Here's what we need you to do next:
>  
> �?Please reply to this email and provide the information outlined below:
>  
> Ship To Name (Full Name):
> Address Line 1 (Cannot be a PO Box):
> Address Line 2:
> City:
> Province:
> Postal Code:
> Country:
> Phone #:
> Buzzer/Door Code:
>  
> When providing this information please take note of the following:
> �?We are unable to send the parcel to a different country and we cannot deliver the parcel to a PO Box or a military APO/FPO address.
> �?Please be sure to provide a physical address within Australia, which is the country initially provided at checkout for this order.
> �?Please provide your address in E",Specialty,Logistics - CCR
37838,SellerInfo Request,"
Per the Personal Information Agreement, please send the seller contact information for the following sellers:

    Seller: perfect277
    NOCI Item Number: 311647375862
    Reason: 1.1. - Item(s) is a counterfeit product which infringes the trademark owner's rights


Name of IP Owner: Apple Inc.
Company: Bryan Pemberton, Strategic Account Manager
Address: 3540 East Longwing Lane, Suite 300
City, State, and Zip: Meridian, ID 83646
Telephone:  1.208.6851843
",e2M Listing,VeRO - CCR
37839,Re: VeRO Program -- eBay Listing Removed,"Thank you. Please can you forward me the trader's personal details? The
reason code to support our report is noted below.

Zoe Le Jeune





________________________________
From: vero@ebay.co.uk <vero@ebay.co.uk>
Sent: 04 October 2016 22:45
To: admin1
Subject: VeRO Program -- eBay Listing Removed

Thank you for contacting us.

We are pleased to inform you that the following listing(s) you reported have been removed from eBay in response to the Notice of Claimed Infringement you recently sent:

treefox-5 - 5.2
112143265532

uk-kriti - 5.2
182295958485

We have notified the seller and all participating bidders that the listing(s) has been removed due to your request.

If the Notice of Claimed Infringement contained items that are not listed above you will receive a separate email communication about those items. These notices may arrive at different times (over a period of up to several hours) as items for different sellers are processed separately.

If you should have any questions or concerns regarding this matter, please do not hesitate to contact us again.

VeRO Program
eBay Trust & Safety

",e2M Listing,VeRO - CCR
37840,SellerInfo Request,"
Per the Personal Information Agreement, please send the seller contact information for the following sellers:

    Seller: hutchmaster1980
    NOCI Item Number: 122159661698
    Reason: 1.1. - Item(s) is a counterfeit product which infringes the trademark owner's rights

    Seller: littlespug
    NOCI Item Number: 191983129221
    Reason: 1.1. - Item(s) is a counterfeit product which infringes the trademark owner's rights

    Seller: modelsfast
    NOCI Item Number: 371751612975
    Reason: 1.1. - Item(s) is a counterfeit product which infringes the trademark owner's rights

    Seller: spaluk8
    NOCI Item Number: 222266772105
    Reason: 1.1. - Item(s) is a counterfeit product which infringes the trademark owner's rights


Name of IP Owner: Acushnet Company
Company: Lisa Rogan, Trademark Manager
Address: 333 Bridge St.
City, State, and Zip: Fairhaven, MA 02719
Telephone:  1.508.9793292
",e2M Listing,VeRO - CCR
37841,RE: Regarding Case 5114665676 SR# 1-87191776043,"Has the seller received it??

 

Thanks

 

Mary Huscroft RN 

 

Meridian Plastic Surgery Center

170 w. 106th Street

Indianapolis, IN 46290

 

317-575-0336 Ext. 126

 

 

From: highvalueclaimsinfo@ebay.com [mailto:highvalueclaimsinfo@ebay.com] 
Sent: Friday, September 30, 2016 3:35 PM
To: mhuscroft@meridianplasticsurgerycenter.com
Subject: Regarding Case 5114665676 SR# 1-87191776043

 

  <http://p.eBaystatic.com/aw/pics/logos/logoEBay_x45.gif> 

Regarding Case 5114665676 SR# 1-87191776043

 

Hello Mary ,

 

Thank you for your previous email regarding case 5114665676. I am sorry this case has not gone as you had hoped. It appears this case was closed in the seller's favor because we did not have valid tracking to show that the item was shipped out within the allotted timeframe. I have placed this case on a 3 day hold, until 10/3/16, in order to allow you time to provide this information. If we can confirm that the item was shipped out by 8/30/16 we can continue with the refund process. We appreciate your patience and cooperation with this process. 

 

Sincerely,

Jim L.

eBay






From: <>
Sent: 9/26/2016 2:35:20 PM
To: 
CC: 
Subject: GS=CU1193 | Appeal claim to CS, I received an item that is not as described [#US ?01 ]


GS=CU1193 | Appeal claim to CS, I received an item that is not as described [#US ?01",M2M Escalation,Buyer Protect High ASP Claim
37842,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#CA $US 100881T ?0",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37843,Policy General,"My address：No. 19-25, 2nd floor, block 16, Lanshi international trading
center, Chancheng, Foshan, Guangdong, China.

Mobile�?86 13929968842

2016�?0�?�?上午8:05�?<customerhelp@ebay.co.uk>写道�?

> [image: eBay]
> eBay item undeliverable to your address - SR# 1-88173760440
>
>
> Hello hejingrun,
>
> We're having trouble delivering your order of eBay item 291855945178 from
> nick3wood (ORA: A2325427219CN). This is usually caused by an incomplete or
> unrecognized address or phone number.
>
> Please review the delivery address and phone number. The address we tried
> to deliver to is No.19-25, 2nd floor, block 16, Lanshi International
> Center,Chancheng,Foshan,?????????,528041,China.  The phone number is
> 13929968842.
>
> If these details are incorrect, please edit them here:
> http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Note: We can't ship to an address in a different country than originally
> listed. Also, we don’t ship to PO Boxes or Packstations.
>
> --You don't need to contact us once you've updated the address.--
>
> If the shipping address and phone number are correct, let us know by
> replying to this email.
>
> We'll hold your item for 7 days while we wait for your updated address. If
> we haven't heard from you by then, we'll dispose of your item. We don't
> return undeliverable items to sellers. Once you've",Specialty,Logistics - CCR
37844,RE: eBay VeRO Program - NOCI Received - More Information Requested,"Dear eBay VeRO team,

Thank you for getting back to us.

The below items reported have differences on their packaging to the brand owner. Therefore, this violates their trademark and may mislead consumers into purchasing an item that is not made by Skate One.

Please have these removed.

Kind Regards,

NetNames Brand Protection Ltd. 
________________________________________
From: vero@ebay.com [vero@ebay.com]
Sent: 04 October 2016 20:45
To: Envisional Enforcement
Subject: eBay VeRO Program - NOCI Received - More Information Requested

Hello,

Thank you for contacting the VeRO Program.

We reviewed the Notice of Claimed Infringement you sent us today and the items you identified.

johnjeb68
172361186467

theskatefactory
282199329496

The Verified Rights Owner (VeRO) Program is designed to process reports of intellectual property infringement. From the information provided, however, the nature of intellectual property infringement you are attempting to report is unclear.

If you feel that these listings do infringe on your intellectual property rights, please respond to this message and provide us with a more detailed explanation.

If you'd like to report a stolen item, please go to:

 http://pages.ebay.com/help/policies/stolen.html

We look forward to hearing from you.

Sincerely,

VeRO Program
eBay

",e2M Listing,VeRO - CCR
37845,Infringement,"Date: 5 October 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondence with eBay): Intellectualproperty@smiffys.com<mailto:Intellectualproperty@smiffys.com>

Email address (to be given to eBay sellers): IntellectualProperty@smiffys.com<mailto:IntellectualProperty@smiffys.com>

Telephone: +44 1427 616831

Fax:



In addition to the undersigned, the following persons have the proper authority to sign future Notices of Claimed Infringement on behalf of the IP Owner:



Name: Sa",e2M Listing,VeRO - CCR
37846,,"Hello Stacey,

Many thanks for contacting me regarding this matter. The address is correct that ebay confirmed to me, but on the box its 
Jolita Razanskaite
38230 pont de cheruy.
It's missing the line with the street.

Full address is:

6 bd leon gontier
38230 pont de cheruy
France

I hope it will be solved soon. Thank you again for you reply.

Sent from my iPhone

> On 5 oct. 2016, at 23:26, customerhelp@ebay.com wrote:
> 
> 
> Regarding the Shoes, item 122094531982 SR# 1-88164437320
> 
> 
> Hello Jolita,
>  
>  
> My name is Stacey and I wanted to follow up with you regarding your concern. I apologize for the late response, we have had a large number of emails coming in, and since we answer each one personally, it has taken longer than expected to reply. At this time, I understand you purchased a shoes, eBay Item number 122094531982 through the Global Shipping Program, but you haven't received it. I'm more than happy to look closer into this and see if I'm able to get an update on the parcel for you today.
>  
> Looking closer into this transaction, Jolita, it appears the parcel is being returned to our Shipping Center. This usually happens when there is a problem with the address, or you aren't there to receive the parcel. Once the parcel is successfully returned, we will send an email to you asking you to verify your address information, and we w",Specialty,Logistics - CCR
37847,DMCA takedown notice on behalf of Spectrasonics Ltd,"Recipient Information

 

ebay

 

C/O Copyright Agent for Notice of Claims of Copyright Infringement

 

 

Sent via email

 

DMCA / EUCD NOTICE OF COPYRIGHT INFRINGEMENTS                                                                              

 

 

Dear Sir / Madam,

 

I, Philip Taylor certify under penalty of perjury, that I am an agent authorized to act on behalf of Spectrasonics Ltd or the owner of certain intellectual property rights.

I have a good faith belief that the item(s) or material(s) listed below are not authorized by law for use by the seller and therefore infringes the copyright owner's rights. I hereby demand that you act expeditiously to remove or disable access to the material or items claimed to be infringing.

This seller is using an illegal copy of my client software and selling it for profit.

 

CONTACT INFORMATION

 

 

Spectrasonics Ltd

C/- Muso TNT Ltd

Philip Taylor

3rd Floor

27-33 Bethnal Green Road

London

E1 6LA

United Kingdom

Email: legal@muso.com <mailto:legal@muso.com>
Phone: +4402074034543

 

Location of INFRINGING WORKS:



Spectrasonics - Omnisphere 


 http://www.ebay.com/itm/New-Spectrasonics-OmniSphere2-PLUS-FREE-PLUGIN-/131959324415?hash=item1eb9637eff:g:UG4AAOSw-kdX0tPJ <http://www.ebay.com/itm/New-Spectrasonics-OmniSphere2-PLUS-FREE-PLUGIN-/1319593",e2M Listing,VeRO - CCR
37848,Fwd: Inoar listing intellectual rights,"To who it may concern


We notice that some other autorised seller have been claiming intellectual
rights in some of our lisitngs. The right of selling in Europe is not
exlusive for them, there are more that one authorised seller and we buy all
our INOAR products throught one of them which is the main INOAR supplier
for France and also Europe. The people who have complaining about the
intelectual right they have the right to also sell INOAR product but no the
exclusivity as they argue. We are presenting all our documentation
attached, all from our authorised INOAR distribuitor WHICH IS ALSO WILLING
TO BE CONTACTED UPON ANY OTHER DOCUMENT OR INFORMATION YOU MAY NEED.
Eventually we belive this is a dirty move from our competitors in order to
kick us out of the business, however we can present you ANY INFORMATION
REQUIERE BY YOU in order to proves that we are authorised online retailers.
Feel fre to also contact me for anything you need but we really need to
solve this issue ASAP as christmas is just round the corner. We really
apprecite your help and understading on this matter.

-- 
*Kind Regards*




*Mauricio Vega*
*Director*

BRAZILIANHAIRPRODUCTS LTD
*REG. NUMBER 10377120*
6 Salton Square I 315 Coral Apartments I London E14 7GL I Phone:
+447791868525


*WEB: www.brazilianhairproductsonline.com
<http://www.brazilianhairproductsonline.com>",e2M Listing,VeRO - CCR
37849,Fwd: PIA request,"
Dear Ebay Team,

Just a kind reminder, we are still expecting your reply regarding to 
the e-mail that was send to you on 26 Sep 2016.
(please see e-mail below)

With kind regards,
Nena Sekuloska

REACT
Online Enforcement Department
nsekuloska@react.org
Tel. 003892615 0550
       0038923228244
       0038923151253
Fax. 0038923298007

This email is from c.v. REACT U.A. 
The contents of this email and any attachments are confidential to the intended recipient . 
They may not be disclosed to or used by or copied in any way by anyone other than the intended recipient. 
-------------------------------------------------------


 ------ Original message ------
To:		 vero@ebay.co.uk
From:		 impradley@snbreact.org
Subject:		 PIA request
Date sent:	 Mon, 26 Sep 2016 17:25:49 +0200


Dear eBay,

We herewith would like to ask you to provide us with personally
identifiable information concerning the following registered eBay
user(s):

Seller:
anfieldarts
beccat_1999
joseph6991
laulinlaur
bokakino_86
cattocarparts
emay1335
farren_08
kimr5221
kirwuk6
lonestarwytch
madame_b
millwall-uk
mrlcooper25
ronkirkhouse
sister_slaughter

Please contact us if you have any questions regarding this request. We
would like to thank you in anticipation of your assistance.

With kind regards,
Eli Mufisovski
Internet Monitoring Team

SNB-REACT
www.",e2M Listing,VeRO - CCR
